"Disconnect","割引"
"You have successfully disconnected your Facebook account from our store account.","ストアアカウントからあなたのFacebookアカウントにつなげることができませんでした。"
"Sorry, %s"" error occured. Please try again.""","申し訳ございません。%sエラーが発生しました。もう一度試してください。"
"Your Facebook account is already connected to one of our store accounts.","あなたのFacebookアカウントはすでにストアアカウントと接続されています。"
"You have successfully logged in using your Facebook account.","Facebookアカウントを使用して、正常にログインできました。"
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","あなたはすでにストアアカウントを持っています。あなたのFacebookアカウントがストアアカウントに接続されました。"
"Sorry, could not retrieve your Facebook first name. Please try again.","申し訳ございません。あなたのFacebookの名前を取得できませんでした。もう一度試してください。"
"Sorry, could not retrieve your Facebook last name. Please try again.","申し訳ございません。あなたのFacebookの名字を取得できませんでした。もう一度試してください。"
"Facebook Connect","Facebookに接続する"
"You can login using your Facebook account.","Facebookアカウントを使用してログインできます。"
"You can connect store account with your Facebook account so you could login easier in the future.","ストアアカウントとあなたのFacebookアカウントを接続することができます。接続後は、どちらからもログインが可能になります。"
"Your Facebook account is now connected to your store account. You can now login using our Facebook Login button or using store account credentials you will receive to your email address.","あなたのFacebookアカウントは、ストアアカウントと接続されました。Facebookのログインボタンから、もしくはメールに届くストアアカウント情報を使用してログインすることができます。"
"Facebook connect process aborted.","Facebookへの接続が中止されました。"
"Our store needs your Facebook Email to login. Please click the Facebook Login button again to allow us and access your email address.","ログインするには、あなたのFacebookのメールアドレスが必要です。Facebookのログインボタンをもう一度クリックし、あなたのメールアドレスにアクセスしてください。"
"Customer email is required","お客様のメールアドレスが必須です。"
