"1 star","１つ星"
"2 stars","２つ星"
"3 stars","３つ星"
"4 stars","４つ星"
"5 stars","５つ星"
"Add New Rating","評価をする"
"Be the first to review this product","この商品のレビューを書く"
"Delete Rating","評価を削除する"
"Edit Rating","評価を変更する"
"If you do not specify a rating title for a store, the default value will be used.","評価タイトルを指定しない場合は、デフォルト値が使用されます。"
"Manage Ratings","評価管理"
"New Rating","新しい評価"
"Rating Information","評価情報"
"Rating Name","評価の名前"
"Rating Title","評価のタイトル"
"Rating Visibility","評価の表示"
"Save Rating","評価を保存する"
"Sort Order","並べ替え"
