"Disconnect","Đăng Xuất"
"You have successfully disconnected your Facebook account from our store account.","Bạn đã bị ngắt kết nối thành công tài khoản Facebook của bạn từ tài khoản của cửa hàng của chúng tôi."
"Sorry, "%s" error occured. Please try again.","Xin lỗi, "% s" lỗi xảy ra. Vui lòng thử lại."
"Your Facebook account is already connected to one of our store accounts.","Tài khoản Facebook của bạn đã được kết nối với một tài khoản của cửa hàng của chúng tôi."
"You have successfully logged in using your Facebook account.","Bạn đã đăng nhập thành công bằng tài khoản Facebook của bạn."
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","Chúng tôi đã phát hiện ra bạn đã có tài khoản tại các cửa hàng của chúng tôi. Tài khoản Facebook của bạn bây giờ được kết nối với tài khoản lưu trữ của bạn."
"Sorry, could not retrieve your Facebook first name. Please try again.","Xin lỗi, không thể lấy tên Facebook của bạn. Vui lòng thử lại."
"Sorry, could not retrieve your Facebook last name. Please try again.","Xin lỗi, không thể lấy tên họ Facebook của bạn. Vui lòng thử lại."
"Facebook Connect","Kết Nối Facebook"
"You can login using your Facebook account.","Bạn có thể đăng nhập bằng tài khoản Facebook của bạn."
"You can connect store account with your Facebook account so you could login easier in the future.", "Bạn có thể kết nối tài khoản cửa hàng với tài khoản Facebook của bạn để có thể đăng nhập dễ dàng hơn trong tương lai."
"Your Facebook account is now connected to your store account. You can now login using our Facebook Login button or using store account credentials you will receive to your email address.","Tài khoản Facebook của bạn bây giờ được kết nối với tài khoản cửa hàng của bạn. Bạn có thể đăng nhập qua tài khoản Facebook hoặc sử dụng thông tin tài khoản cửa hàng của bạn."
"Facebook connect process aborted.","Hủy bỏ quá trình kết nối Facebook."
"Our store needs your Facebook Email to login. Please click the Facebook Login button again to allow us and access your email address.","Cửa hàng của chúng tôi cần Facebook Email của bạn để đăng nhập. Xin bấm vào nút Facebook 'Đăng Nhập' một lần nữa và cho phép chúng tôi truy cập địa chỉ email của bạn."
"Customer email is required","Email của khách hàng là cần thiết"
