"Sign up for newlletter","Đăng ký nhận bản tin"
"Newsletter Subscriptions","Đăng ký nhận tin điện tử"
"Subscribe","Đăng ký"
"The subscription has been saved.","Việc đăng ký nhận tin đã được lưu."
"Thank you for your subscription.","Cảm ơn bạn đã đăng ký nhận tin!"
"The subscription has been removed.","Việc đăng ký nhận tin đã được hủy bỏ."
"There was a problem with the subscription: %s","Đã xảy ra lỗi: %s"
"Sorry, but administrator denied subscription for guests. Please <a href="%s">register</a>.","Quý khách vui lòng <a href="%s">Đăng ký tài khoản</a> và thử lại sau."
"This email address is already assigned to another user.","Email này đã được đăng ký bởi tài khoản khác."
"Confirmation request has been sent.","Chúng tôi đã gửi mail xác nhận. Vui lòng kiểm tra."
