"%d Review(s)","%d nhận xét"
"%s Review(s)","%s nhận xét"
"Posted on %s","vào ngày %s"
"Add New Review","Thêm nhận xét mới"
"Add Your Review","Thêm nhận xét của bạn"
"You're reviewing:","Bạn đang nhận xét cho:"
"How do you rate this product?","Bạn đánh giá sản phẩm này thế nào?"
"star","sao"
"Nickname","Tên của bạn"
"Summary of Your Review","Tiêu đề"
"Reviews","Nhận xét"
"Submit Review","Gởi nhận xét"
"Please select one of each of the ratings above","Vui lòng cho một mức đánh giá trên"
"Customer Reviews","Khách Hàng Nhận Xét"
"Write Your Own Review","Nhận xét của bạn cho sản phẩm này"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Chỉ có thành viên mới có thể viết nhận xét.Vui lòng <a href=""%s"">đăng nhập</a> hoặc <a href=""%s"">đăng ký</a>."
"Review","Nhận xét"
"1 star","1 sao"
"2 stars","2 sao"
"3 stars","3 sao"
"4 stars","4 sao"
"5 stars","5 sao"
"You have submitted no reviews.","Bạn chưa có nhận xét nào."
"Back","Quay lại"
"Review by <span class=""fhs-review-by"">%s</span>","Nhận xét bởi <span class=""fhs-review-by"">%s</span>"
"Your Review (submitted on %s):","Nhận xét của bạn (được tạo vào %s):"
"Your review has been accepted for moderation.","Nhận xét của bạn sẽ được kiểm duyệt bởi Người quản trị trước khi hiển thị."
"My Product Reviews","Nhận xét của tôi"
"My Recent Reviews","Những nhận xét gần đây"
"Rating:","Đánh giá:"
"View All Reviews","Xem tất cả nhận xét"
"Please enter at minimum 100 character!","Vui lòng điền ít nhất 100 ký tự!"
"Review Details","Nhận xét"
"Back to Product Reviews","Quay lại"
"Verified Purchase","Đã mua hàng"
