"Availability:","Tình trạng:"
"Availability","Tình trạng"
"in stock","Còn hàng"
"show all","Tất cả"
"all","tất cả"
"Quantity:","Số lượng:"
"Go to Home Page","Tới trang chủ"
"Home","Trang chủ"
"Product Description","Giới thiệu"
"Additional Information","Thông tin khác"
"Details Information","Thông Tin Chi Tiết"
"Product Information","Thông tin sản phẩm"
"See More Product Information","Xem Thêm Thông Tin Sản Phẩm"
"Reviews","Nhận xét"
"Product Tags","Tags cho sản phẩm"
"Site Map","Bản đồ site"
"You have no items to compare.","Bạn không có sản phẩm để so sánh ."
"Compare Products","So sánh sản phẩm"
"bestseller","Bán chạy nhất"
"BestSeller","Bán chạy nhất"
"Weekly BestSeller","Bán Chạy Tuần"
"Default","Mặc định"
"Monthly BestSeller","Bán Chạy Tháng"
"Yearly BestSeller","Bán Chạy Năm"
"Weekly Trending","Nổi Bật Tuần"
"Monthly Trending","Nổi Bật Tháng"
"Yearly Trending","Nổi Bật Năm"
"comingsoon","Sắp Có Hàng"
"new","Mới"
"product","sản phẩm"
"Category","Nhóm sản phẩm"
"All categories","Nhóm sản phẩm"
"Item was successfully added to your cart","Sản phẩm đã được thêm thành công vào giỏ hàng của bạn"
"Browse By","Xem theo"
"Sort By","Sắp xếp theo"
"Learn More","Tìm hiểu thêm"
"Read more","Xem thêm"
"Foreign books","Sách Tiếng Nước Ngoài"
"Vietnamese","Tiếng Việt"
"Language","Ngôn ngữ"
"person liked this comment.","lượt thích."
"like this","Thích"
"abuse","Báo cáo"
"Thank you for liking this comment.","Cảm ơn bạn đã thích nhận xét này."
"Thank you for your feedback.","Cảm ơn phản hồi của bạn ."
"Best","Yêu thích nhất"
"or","hoặc"
"Review sort","Sắp xếp theo"
"last review","Nhật xét mới nhất"
"best like","Nhận xét được yêu thích nhất"
"Email address is invalid.","Email address is invalid."
"Please enter your email to receive notification.","Vui lòng nhập Email để nhận thông báo."
"Confirm","Xác nhận"
"Thank you for your interest in the product. We will notify you when the product availability.","Cám ơn bạn đã quan tâm đến sản phẩm. Chúng tôi sẽ thông báo cho bạn khi sản phẩm có hàng."
"Notification when available","Thông báo khi có hàng"
"final_price","Giá Bán"
"See more","Xem thêm"
"Collected Point %s","Điểm tích luỹ %s"
"You will be uplevel to %s in the next round.","Bạn sẽ được Cấp độ %s vào đợt thăng hạng tiếp theo."
"The successful orders in %s","Số đơn hàng thành công năm %s"
"The amount paid in %s","Số tiền đã thanh toán năm %s"
"The expected date %s.","Ngày dự kiến %s."
"Item in combo","Combo bao gồm"
"Customize and Add to Cart","Tùy chọn và mua"
"Select products","Chọn sản phẩm"
"Selected products","Những sản phẩm đã chọn"
"Step","Bước"
"Qty","SL"
"Final price","Giá bán"
"Total amount","Thành tiền"
"Image","Hình ảnh"
"Suborder total","Đơn giá"
"Confirm","Xác nhận"
"Hot Price","Giá sốc"
"Coming soon","Sắp có hàng"
"Product appear in", "Sản phẩm hiển thị trong"
"Product Appear In Page","Xuất hiện ở trang"
"Top best selling products","Sản phẩm bán chạy nhất"
"Top 100 best-selling products of the month","Top 100 sản phẩm bán chạy nhất tháng"
"Your browser does not support HTML5 video", "Chương trình duyệt web của bạn không hỗ trợ HTML5 videos"
"Sale Price","Giá Bán"
"Created At","Mới nhất"
"Filter By","Lọc Theo"
"Filter","Bộ lọc"
"above", "trở lên"
"Clear Filters","Xóa bộ lọc"
"Products in sets", "Sản phẩm theo bộ"
"All Series","Tất Cả Nhóm Series"
"All Category","Tất Cả Nhóm Sản Phẩm"
"Series","Bộ"
"View related product","Xem sản phẩm liên quan"
