"Last Ordered Items","Sản phẩm đặt mua gần đây"
"View Order","Xem"
"Reorder","Đặt hàng lại"
"View All","Xem tất cả"
"Order Total","Tổng cộng đơn hàng"
"Order Money Total","Tổng Tiền"
"Order money total","Tổng tiền"
"Ship To","Người nhận"
"Order #","Đơn hàng #"
"Order","Mã đơn hàng"
"Date of purchase","Ngày mua"
"Status","Trạng thái"
"Order details","Chi tiết đơn hàng"
"History contact","Lịch sử liên lạc"
"History contact detail","Chi tiết lịch sử liên lạc"
"Quantity","Số lượng"
"Product list","Sản phẩm"
"Shipping information","Thông tin người nhận"
"Shipping & Handling","Phí vận chuyển"
"Orders and Returns","Tra cứu đơn hàng"
"Order ID","Mã đơn hàng"
"Order Information","Thông tin đơn hàng"
"Enter the billing last name and email/ZIP as in the order billing address","<br /><b>Họ của bạn (lưu ý chỉ nhập Họ)</b>"
"Billing Last Name","<b>Họ</b> của bạn (Lưu ý chỉ điền Họ)"
"Find Order By:","Tìm theo"
"Email Address","Email"
"Continue","Tiếp tục"
"Order Status","Trạng thái"
"Discount", "Chiết khấu"
"Regular Price", "Giá bìa"
"Entered data is incorrect. Please try again.","Không tìm thấy thông tin. Xin vui lòng kiểm tra lại thông tin. Hoặc liên lạc với chúng tôi tại 1900636467."
"Your order has been divided into %s suborder(s).","Đơn hàng của quý khách được chia làm %s đơn hàng con. Do hàng được vận chuyển từ nhiều nơi."
"Your order:","Thông tin đơn hàng"
"Cancel order","Hủy đơn hàng"
"Review order","Đánh giá đơn hàng"
"Items Ordered","Tổng đơn hàng"
"pending", "Chờ xác nhận",
"pre_pending", "Chờ xác nhận"
"paid", "Chờ xác nhận"
"New Order", "Đơn hàng mới"
"Waiting confirm and Process", "Chờ xác nhận và xử lý"
"Confirm","Xác nhận"
"customer_confirmed","Đã xác nhận"
"processing","Đang xử lý"
"ready delivering","Sẵn sàng giao hàng"
"delivering","Đang giao hàng"
"canceled","Bị hủy"
"complete","Hoàn tất"
"Processing","Đang xử lý"
"Ready delivering","Sẵn sàng giao hàng"
"Delivering","Đang giao hàng"
"Delivery","Giao hàng"
"Canceled","Bị hủy"
"Complete","Hoàn tất"
"_canceled","Đã hủy"
"Failure","Không thành công"
"Created new Order.", "Đã tạo đơn hàng mới."
"Order confirmed and processing.", "Đơn hàng đã xác nhận và đang xử lý."
"Order completed.","Đơn hàng đã hoàn tất."
"Order canceled.","Đơn hàng đã bị hủy."
"pending_payment", "Chờ thanh toán"
"packed","Đóng gói xong"
"delivering","Đang giao hàng"
"delivery_failed","Giao hàng thất bại"
"delivery_returned","Giao hàng thất bại"
"ebiz_returned","Giao hàng thất bại"
"no_stock","Tạm hết hàng"
"returning","Đang trả hàng"
"returned","Đã trả hàng"
"permanent_no_stock","Hết hàng"
"Email address is invalid.","Email không hợp lệ."
"Items maximum quantity or price do not allow checkout.","Giỏ hàng vượt hạn mức cho phép. Để tiếp tục, xin quý khách liên hệ với Fahasa tại 1900636467."
"The maximum quantity allowed for purchase is %s.","Số lượng sản phẩm tối đa được phép mua là %s"
"Tryout discount","Giảm giá Tryout"
"F-point Discount","Giảm giá F-point"
"Freeship Amount","Giảm giá vận chuyển"
"Original Shipping Fee","Phí vận chuyển"
"Grand Totals","Tổng cộng"
"This order was applied 'Freeship'.","Đơn hàng này đã được áp dụng 'Freeship'."
"Visa / Master / JCB", "Thẻ Visa / Master / JCB"
"ATM / Internet Banking", "Thẻ ATM nội địa / Internet Banking"
"ZaloPay Wallet", "Ví ZaloPay"
"MomoPay Wallet", "Ví Momo"
"Don't have infomation","Không có"
"Back to My Orders","Quay về"
"Account information will automatically be added to your account:","Thông tin tài khoản sẽ tự động thêm vào tài khoản của bạn:"
"Signup quick fahasa.com member","Đăng ký nhanh thành viên fahasa.com"
"Thank you for your purchase fromm Fahasa.com","Cảm ơn bạn đã mua hàng tại Fahasa.com"
"Your order has been received","Đơn hàng của bạn đã được tiếp nhận"
"Your order id is:","Mã đơn hàng của bạn là:"
"Continue shopping","Tiếp tục mua sắm"
"View my order","Xem chi tiết đơn hàng"
"Your order is worth <span>%s vnd</span>, you will receive <span>%s F-Point</span> when registering as a member of Fahasa.com","Đơn hàng của bạn trị giá <span>%s đ</span>, bạn sẽ nhận được <span>%s F-Point</span> khi đăng ký làm thành viên của Fahasa.com"
"Show","Hiện"
"Product viewed","Sản phẩm đã xem"
"Payment history","Xem lịch sử thanh toán"
"success", "Thành công"
"failed", "Thất bại"
"refund_success", "Hoàn tiền thành công"
"refund_failed","Hoàn tiền thất bại"
"refund_processing","Hoàn tiền đang xử lý"
"Refund time is 3-5 days", "Thời gian hoàn tiền từ 3-5 ngày" 
"Payment failed due to payment error","Bị hủy do lỗi thanh toán"
"Have you received your order?","BẠN ĐÃ NHẬN ĐƯỢC HÀNG?"
"Please select &quot;Confirm&quot; if you've received the item(s). Select &quot;Cancel&quot; if the item(s) is not delivered.","Vui lòng nhấn &quot;Đã Nhận&quot; nếu bạn đã nhận được đơn hàng này. Nhấn &quot;Hủy&quot; nếu chưa nhận được."
"Confirm","Đã nhận"
"Item Received","Đã nhận được hàng"
"Shipment Tracking","Tra cứu vận chuyển"
"Confirm Order Received","Đã xác nhận thành công"
